#block	written	holding	exposure	total credit balance	total stablecoin balance
21666	196243067728	241308000000	0.00	73989688856104.00	73989688856104.00
21813	195264503810	243422000000	0.00	73944175856104.00	73944175856104.00
21928	194503248433	244882000000	0.00	73916282856104.00	73916282856104.00
22000	192440055289	247214000000	0.00	73893057856104.00	73893057856104.00
22132	195950931970	250750000000	0.00	73849739856104.00	73849739856104.00
22244	198691070835	253826000000	0.00	73841319856104.00	73841319856104.00
22377	199695919405	255593000000	0.00	73831406856104.00	73831406856104.00
22428	201755919405	257653000000	0.00	73752145856104.00	73752145856104.00
22519	202839453920	260531000000	0.00	73750116856104.00	73750116856104.00
22610	203908011020	261885000000	0.00	73736196856104.00	73736196856104.00
22762	203521254226	263538000000	0.00	73736195856104.00	73736195856104.00
22873	208704254226	268721000000	0.00	73734668856104.00	73734668856104.00
22949	211885448302	272498000000	0.00	73734667856104.00	73734667856104.00
23002	213682448302	274295000000	0.00	73728732856104.00	73728732856104.00
23174	213907757164	274802000000	0.00	73726992674092.00	73714017856104.00
23263	212389147052	277080000000	0.00	73722035674092.00	73709060856104.00
23332	215875563363	281303000000	0.00	73721769674092.00	73708794856104.00
23459	215225079067	284084000000	0.00	73683165674092.00	73670190856104.00
23555	217556079067	286415000000	0.00	73680075674092.00	73667100856104.00
23665	219266305208	288680000000	0.00	73671901674092.00	73658926856104.00
23732	220262044475	290934000000	0.00	73671881674092.00	73658906856104.00
23818	222387044475	293059000000	0.00	73653439674092.00	73640464856104.00
23886	225342044475	296014000000	0.00	73623965674092.00	73610990856104.00
23952	223105361641	297392000000	0.00	73623965674092.00	73610990856104.00
24079	223752903024	299151000000	0.00	73574825674092.00	73561850856104.00
24166	226002903024	301401000000	0.00	73556891674092.00	73543916856104.00
24295	227971903024	303370000000	0.00	73546894674092.00	73533919856104.00
24365	231143903024	306542000000	0.00	73533212674092.00	73520237856104.00
24493	231602400640	307785000000	0.00	73532162674092.00	73519187856104.00
24620	234189400640	310372000000	0.00	73515551674092.00	73502576856104.00
24715	234226306008	311139000000	0.00	73513983674092.00	73501008856104.00
24803	234026011869	312751000000	0.00	73438983674092.00	73426008856104.00
24907	236992011869	315717000000	0.00	73438972674092.00	73425997856104.00
24992	240558011869	319283000000	0.00	73434956674092.00	73421981856104.00
25086	243387011869	322112000000	0.00	73431380674092.00	73418405856104.00
25193	244783077351	323547000000	0.00	73422169674092.00	73409194856104.00
25283	245989084073	325449000000	0.00	73393739674092.00	73380764856104.00
25393	247035220434	327039000000	0.00	73393728674092.00	73380753856104.00
25541	247358658466	328513000000	0.00	73393728674092.00	73380753856104.00
25573	251752658466	332907000000	0.00	73387769674092.00	73374794856104.00
25678	254037693793	335372000000	0.00	73325969825524.00	73308255856104.00
25802	257205693793	338540000000	0.00	73320159825524.00	73302445856104.00
25929	258369693793	339704000000	0.00	73320159825524.00	73302445856104.00
26074	258771277958	340185000000	0.00	73284761825524.00	73267047856104.00
26160	260838277958	342252000000	0.00	73281311825524.00	73263597856104.00
26230	265329046473	346766000000	0.00	73281574397829.00	73262143856104.00
26316	266949046473	348386000000	0.00	73589240545071.00	73589309502115.00
26347	268125046473	349562000000	0.00	74247471691601.00	74247540648645.00
26474	271918046473	353355000000	0.00	74292180152743.00	74292249109787.00
26544	274509046473	355946000000	0.00	74732398603938.00	74732467560982.00
26669	275069046473	356506000000	0.00	74867341461395.00	74867410418439.00
26762	277792046473	359229000000	0.00	74867839981730.00	74867908938774.00
26868	279007046473	360444000000	0.00	75332152131676.00	75332221088720.00
26939	279440046473	360877000000	0.00	75834424194539.00	75834493151583.00
27030	279611046473	361048000000	0.00	75808434194539.00	75808503151583.00
27195	285300046473	366737000000	0.00	76084343024656.00	76084411981700.00
27280	285996046473	367433000000	0.00	76077528963909.00	76077597920953.00
27369	287119807662	368561000000	0.00	76073342539825.00	76073411496869.00
27574	287932173332	369669000000	0.00	76066001241044.00	76066070198088.00
27728	289613231511	371415000000	0.00	76497369121360.00	76497438078404.00
27780	290155231511	371957000000	0.00	76972081785347.00	76972150742391.00
27850	291226231511	373028000000	0.00	77554995870698.00	77555064827742.00
27921	293292900705	375357000000	0.00	77741351185685.00	77741420142729.00
28015	294003505242	376105000000	0.00	78233104862342.00	78233173819386.00
28123	294327260480	376506000000	0.00	78228396217646.00	78228465174690.00
28173	295013260480	377192000000	0.00	78142248235770.00	78142317192814.00
28281	296793290009	379306000000	0.00	78135653295330.00	78135722252374.00
28374	298605841680	381164000000	0.00	78135643000774.00	78135711957818.00
28464	300837841680	383396000000	0.00	78123013659713.00	78123082616757.00
28573	301277271135	384202000000	0.00	78119253800843.00	78119322757887.00
28608	302803271135	385728000000	0.00	78112644775569.00	78112713732613.00
28701	304543271135	387468000000	0.00	78102522497752.00	78102591454796.00
28791	304960421610	387918000000	0.00	78087815781218.00	78087884738262.00
28844	307198421610	390156000000	0.00	78078819918199.00	78078888875243.00
28897	309113421610	392071000000	0.00	78073617788337.00	78073686745381.00
28957	311454421610	394412000000	0.00	78035638996660.00	78035707953704.00
29010	314288421610	397246000000	0.00	78024614449335.00	78024683406379.00
29102	316374421610	399332000000	0.00	78024592035779.00	78024660992823.00
29152	317411421610	400369000000	0.00	78005126012659.00	78005194969703.00
29210	318516421610	401474000000	0.00	77942907201219.00	77942976158263.00
29244	320565421610	403523000000	0.00	77929999264741.00	77930068221785.00
29283	320603421610	403561000000	0.00	77842834480382.00	77842903437426.00
29315	322935421610	405893000000	0.00	77842834480382.00	77842903437426.00
29445	235963157651	273996000000	0.00	77842016235452.00	77842085192496.00
29552	235963157651	273996000000	0.00	77840847442388.00	77840916399432.00
29678	236518157651	274551000000	0.00	77840822543165.00	77840891500209.00
29744	237365157651	275398000000	0.00	77840786624071.00	77840855581115.00
29862	185267183925	212888000000	0.00	77833195151333.00	77833264108377.00
29954	187854183925	215475000000	0.00	77806580025816.00	77806648982860.00
30068	189208183925	216829000000	0.00	77769780156883.00	77769849113927.00
30192	190849183925	218470000000	0.00	77769780156883.00	77769849113927.00
30275	112678195444	125216000000	0.00	77760782743623.00	77760851700667.00
30313	114417195444	126955000000	0.00	77736516756765.00	77736585713809.00
30413	116117195444	128655000000	0.00	77736412103716.00	77736481060760.00
30485	116754195444	129292000000	0.00	77736412103716.00	77736481060760.00
30596	67694180670	73325000000	0.00	77878218174388.00	77878287131432.00
30679	68581180670	74212000000	0.00	78267370515305.00	78267439472349.00
30718	69023180670	74654000000	0.00	78665611325397.00	78665680282441.00
30733	69437180670	75068000000	0.00	79332445236357.00	79332514193401.00
30818	21905000000	21905000000	0.00	87821044686802.00	87821113643846.00
